# pushed 2026-09-14 12:48:41.686 (scheduled)
# app=2.2 (build 13) device=Newland NLS-MT93 display=MT93-GL_V8.10.002_115006 android=15 (sdk 35) server=http://164.52.223.163:4636 location=TITLI BHILWARA
# bytes 255460..257655

09-14 12:48:17.079 23601 23601 W WindowOnBackDispatcher: sendCancelIfRunning: isInProgress=false callback=android.view.ViewRootImpl$$ExternalSyntheticLambda11@1494272
09-14 12:48:17.185 23601 23620 E FeatureFlagsImplExport: android.os.flagging.AconfigStorageReadException: ERROR_PACKAGE_NOT_FOUND: package com.android.libcore cannot be found on the device
09-14 12:48:40.101 23601 23608 W hionapplication: Cleared Reference was only reachable from finalizer (only reported once)
09-14 12:48:40.130 23601 23610 W System  : A resource failed to call close. 
09-14 12:48:40.131 23601 23610 W System  : A resource failed to call SQLiteConnectionPool.close. 
09-14 12:48:40.131 23601 23610 W SQLiteConnectionPool: A SQLiteConnection object for database '/data/user/0/com.poxo.tittlifashionapplication/databases/titliFashion' was leaked!  Please fix your application to end transactions in progress properly and to close the database when it is no longer needed.
09-14 12:48:40.131 23601 23610 W System  : A resource failed to call SQLiteConnection.close. 
09-14 12:48:40.132 23601 23610 W System  : A resource failed to call close. 
09-14 12:48:40.132 23601 23610 W System  : A resource failed to call SQLiteConnectionPool.close. 
09-14 12:48:40.132 23601 23610 W SQLiteConnectionPool: A SQLiteConnection object for database '/data/user/0/com.poxo.tittlifashionapplication/databases/titliFashion' was leaked!  Please fix your application to end transactions in progress properly and to close the database when it is no longer needed.
09-14 12:48:40.132 23601 23610 W System  : A resource failed to call SQLiteConnection.close. 
09-14 12:48:40.133 23601 23610 W System  : A resource failed to call close. 
09-14 12:48:40.133 23601 23610 W System  : A resource failed to call SQLiteConnectionPool.close. 
09-14 12:48:40.133 23601 23610 W SQLiteConnectionPool: A SQLiteConnection object for database '/data/user/0/com.poxo.tittlifashionapplication/databases/titliFashion' was leaked!  Please fix your application to end transactions in progress properly and to close the database when it is no longer needed.
09-14 12:48:40.133 23601 23610 W System  : A resource failed to call SQLiteConnection.close. 
