# pushed 2026-09-17 11:06:40.322 (backgrounded)
# app=2.2 (build 13) device=Newland NLS-MT93 display=MT93-GL_V8.10.002_115006 android=15 (sdk 35) server=http://164.52.223.163:4636 location=TITLI BHILWARA
# bytes 487035..489676

2026-09-17 11:06:34.162  W  UhfSession: Could not power up the UHF reader
09-17 11:06:34.162  4832  9404 E BufferQueueProducer: [SurfaceView[com.poxo.tittlifashionapplication/com.poxo.tittlifashionapplication.ui.registration.RegistrationActivity]#98(BLAST Consumer)98](id:12e00000006a,api:4,p:1493,c:4832) dequeueBuffer: BufferQueue has been abandoned
09-17 11:06:34.162  4832  6991 E BufferQueueProducer: [SurfaceView[com.poxo.tittlifashionapplication/com.poxo.tittlifashionapplication.ui.registration.RegistrationActivity]#98(BLAST Consumer)98](id:12e00000006a,api:4,p:1493,c:4832) queueBuffer: BufferQueue has been abandoned
09-17 11:06:34.183  4832  4832 W WindowOnBackDispatcher: sendCancelIfRunning: isInProgress=false callback=android.view.ViewRootImpl$$ExternalSyntheticLambda11@defa124
09-17 11:06:34.198  4832  6991 E BufferQueueProducer: [SurfaceView[com.poxo.tittlifashionapplication/com.poxo.tittlifashionapplication.ui.registration.RegistrationActivity]#98(BLAST Consumer)98](id:12e00000006a,api:4,p:1493,c:4832) queueBuffer: BufferQueue has been abandoned
09-17 11:06:34.203  4832  6991 E BufferQueueProducer: [SurfaceView[com.poxo.tittlifashionapplication/com.poxo.tittlifashionapplication.ui.registration.RegistrationActivity]#98(BLAST Consumer)98](id:12e00000006a,api:4,p:1493,c:4832) cancelBuffer: BufferQueue has been abandoned
09-17 11:06:34.205  4832  9406 E BufferQueueProducer: [SurfaceView[com.poxo.tittlifashionapplication/com.poxo.tittlifashionapplication.ui.registration.RegistrationActivity]#98(BLAST Consumer)98](id:12e00000006a,api:4,p:1493,c:4832) cancelBuffer: BufferQueue has been abandoned
09-17 11:06:34.205  4832  9406 E BufferQueueProducer: [SurfaceView[com.poxo.tittlifashionapplication/com.poxo.tittlifashionapplication.ui.registration.RegistrationActivity]#98(BLAST Consumer)98](id:12e00000006a,api:4,p:1493,c:4832) cancelBuffer: BufferQueue has been abandoned
09-17 11:06:34.206  4832  9406 E BufferQueueProducer: [SurfaceView[com.poxo.tittlifashionapplication/com.poxo.tittlifashionapplication.ui.registration.RegistrationActivity]#98(BLAST Consumer)98](id:12e00000006a,api:4,p:1493,c:4832) cancelBuffer: BufferQueue has been abandoned
2026-09-17 11:06:34.739  E  ProductSync: mapped page 1 rejected: HTTP 401 - session expired
2026-09-17 11:06:35.731  E  ProductSync: unmapped page 1 rejected: HTTP 401 - session expired
09-17 11:06:36.472  4832  4832 W WindowOnBackDispatcher: sendCancelIfRunning: isInProgress=false callback=android.view.ViewRootImpl$$ExternalSyntheticLambda11@25e1928
09-17 11:06:40.235  4832  4832 W RemoteInputConnectionImpl: requestCursorUpdates on inactive InputConnection
