# pushed 2026-09-09 16:02:27.194 (scheduled)
# app=2.0 (build 11) device=Newland NLS-MT93 display=MT93-GL_V2.10.010_113007 android=13 (sdk 33) server=http://164.52.223.163:4636 location=TITLI NEEMUCH
# bytes 394009..396135

2026-09-09 15:57:10.814  I  UhfSession: UHF reader powered down: app moved to the background
2026-09-09 15:59:20.803  I  Net: Blank Audit: opened, powering the UHF module up
2026-09-09 15:59:23.365  I  UhfSession: UHF reader powered up
2026-09-09 15:59:44.266  I  Net: Blank Audit: closed, releasing the UHF module
2026-09-09 15:59:48.801  I  UhfSession: UHF reader powered down: no screen is using the reader
09-09 16:00:49.776 13831 13842 W System  : A resource failed to call close. 
09-09 16:00:49.776 13831 13842 W System  : A resource failed to call SQLiteConnectionPool.close. 
09-09 16:00:49.776 13831 13842 W SQLiteConnectionPool: A SQLiteConnection object for database '/data/user/0/com.poxo.tittlifashionapplication/databases/titliFashion' was leaked!  Please fix your application to end transactions in progress properly and to close the database when it is no longer needed.
09-09 16:00:49.776 13831 13842 W System  : A resource failed to call SQLiteConnection.close. 
09-09 16:00:49.777 13831 13842 W System  : A resource failed to call close. 
09-09 16:00:49.777 13831 13842 W System  : A resource failed to call SQLiteConnectionPool.close. 
09-09 16:00:49.778 13831 13842 W SQLiteConnectionPool: A SQLiteConnection object for database '/data/user/0/com.poxo.tittlifashionapplication/databases/titliFashion' was leaked!  Please fix your application to end transactions in progress properly and to close the database when it is no longer needed.
09-09 16:00:49.778 13831 13842 W System  : A resource failed to call SQLiteConnection.close. 
09-09 16:00:49.782 13831 13842 W System  : A resource failed to call close. 
09-09 16:00:49.783 13831 13842 W System  : A resource failed to call SQLiteConnectionPool.close. 
09-09 16:00:49.783 13831 13842 W SQLiteConnectionPool: A SQLiteConnection object for database '/data/user/0/com.poxo.tittlifashionapplication/databases/titliFashion' was leaked!  Please fix your application to end transactions in progress properly and to close the database when it is no longer needed.
09-09 16:00:49.783 13831 13842 W System  : A resource failed to call SQLiteConnection.close. 
