# pushed 2026-09-18 20:01:28.781 (scheduled)
# app=2.2 (build 13) device=Newland NLS-MT93 display=MT93-GL_V2.10.010_113007 android=13 (sdk 33) server=http://164.52.223.163:4636 location=TITLI NEEMUCH
# bytes 220007..222773

09-18 19:54:01.404 20324 20339 W mediametrics::Item: Reacquire service connection on next request
2026-09-18 20:00:58.754  I  Session: app=2.2 (build 13) device=Newland NLS-MT93 display=MT93-GL_V2.10.010_113007 android=13 (sdk 33) server=<not configured> location=TITLI NEEMUCH
2026-09-18 20:00:58.764  I  LogUploader: Automatic log push on: paras-44a55/Titli-upload@log every 30 min as NLS-MT93-f0fc075f
2026-09-18 20:00:58.772  I  Net: wifi connected
2026-09-18 20:00:58.774  I  Net: wifi has internet (rssi -60 dBm)
--------- beginning of main
09-18 20:00:58.938  7005  7005 W hionapplication: Accessing hidden method Landroid/view/ViewGroup;->makeOptionalFitsSystemWindows()V (unsupported, reflection, allowed)
09-18 20:00:59.002  7005  7005 E FBI     : Can't load library: dlopen failed: library "libmagtsync.so" not found
09-18 20:00:59.157  7005  7036 W Parcel  : Expecting binder but got null!
09-18 20:01:09.997  7005  7019 W SQLiteConnectionPool: A SQLiteConnection object for database '/data/user/0/com.poxo.tittlifashionapplication/databases/titliFashion' was leaked!  Please fix your application to end transactions in progress properly and to close the database when it is no longer needed.
09-18 20:01:09.997  7005  7019 W System  : A resource failed to call SQLiteConnection.close. 
09-18 20:01:09.997  7005  7019 W System  : A resource failed to call SQLiteConnectionPool.close. 
09-18 20:01:09.997  7005  7019 W System  : A resource failed to call close. 
09-18 20:01:09.997  7005  7019 W SQLiteConnectionPool: A SQLiteConnection object for database '/data/user/0/com.poxo.tittlifashionapplication/databases/titliFashion' was leaked!  Please fix your application to end transactions in progress properly and to close the database when it is no longer needed.
09-18 20:01:09.997  7005  7019 W System  : A resource failed to call SQLiteConnection.close. 
09-18 20:01:09.997  7005  7019 W System  : A resource failed to call SQLiteConnectionPool.close. 
09-18 20:01:09.997  7005  7019 W System  : A resource failed to call close. 
09-18 20:01:09.998  7005  7019 W SQLiteConnectionPool: A SQLiteConnection object for database '/data/user/0/com.poxo.tittlifashionapplication/databases/titliFashion' was leaked!  Please fix your application to end transactions in progress properly and to close the database when it is no longer needed.
09-18 20:01:09.998  7005  7019 W System  : A resource failed to call SQLiteConnection.close. 
09-18 20:01:09.998  7005  7019 W System  : A resource failed to call SQLiteConnectionPool.close. 
09-18 20:01:09.998  7005  7019 W System  : A resource failed to call close. 
09-18 20:01:11.785  7005  7036 W Parcel  : Expecting binder but got null!
09-18 20:01:12.270  7005  7036 W Parcel  : Expecting binder but got null!
