# pushed 2026-09-22 13:23:00.247 (scheduled)
# app=2.2 (build 13) device=Newland NLS-MT93 display=MT93-GL_V2.10.010_113007 android=13 (sdk 33) server=http://164.52.223.163:4636 location=TITLI NEEMUCH
# bytes 255771..258439

2026-09-22 13:22:30.220  I  Session: app=2.2 (build 13) device=Newland NLS-MT93 display=MT93-GL_V2.10.010_113007 android=13 (sdk 33) server=<not configured> location=TITLI NEEMUCH
2026-09-22 13:22:30.230  I  LogUploader: Automatic log push on: paras-44a55/Titli-upload@log every 30 min as NLS-MT93-f0fc075f
2026-09-22 13:22:30.240  I  Net: wifi connected
2026-09-22 13:22:30.242  I  Net: wifi has internet (rssi -46 dBm)
--------- beginning of main
09-22 13:22:30.437  7172  7172 W hionapplication: Accessing hidden method Landroid/view/ViewGroup;->makeOptionalFitsSystemWindows()V (unsupported, reflection, allowed)
09-22 13:22:30.497  7172  7172 E FBI     : Can't load library: dlopen failed: library "libmagtsync.so" not found
09-22 13:22:30.570  7172  7203 W Parcel  : Expecting binder but got null!
09-22 13:22:51.002  7172  7185 W System  : A resource failed to call close. 
09-22 13:22:51.002  7172  7185 W System  : A resource failed to call SQLiteConnectionPool.close. 
09-22 13:22:51.002  7172  7185 W SQLiteConnectionPool: A SQLiteConnection object for database '/data/user/0/com.poxo.tittlifashionapplication/databases/titliFashion' was leaked!  Please fix your application to end transactions in progress properly and to close the database when it is no longer needed.
09-22 13:22:51.002  7172  7185 W System  : A resource failed to call SQLiteConnection.close. 
09-22 13:22:51.004  7172  7185 W System  : A resource failed to call close. 
09-22 13:22:51.004  7172  7185 W System  : A resource failed to call SQLiteConnectionPool.close. 
09-22 13:22:51.004  7172  7185 W SQLiteConnectionPool: A SQLiteConnection object for database '/data/user/0/com.poxo.tittlifashionapplication/databases/titliFashion' was leaked!  Please fix your application to end transactions in progress properly and to close the database when it is no longer needed.
09-22 13:22:51.004  7172  7185 W System  : A resource failed to call SQLiteConnection.close. 
09-22 13:22:51.004  7172  7185 W System  : A resource failed to call close. 
09-22 13:22:51.004  7172  7185 W System  : A resource failed to call SQLiteConnectionPool.close. 
09-22 13:22:51.004  7172  7185 W SQLiteConnectionPool: A SQLiteConnection object for database '/data/user/0/com.poxo.tittlifashionapplication/databases/titliFashion' was leaked!  Please fix your application to end transactions in progress properly and to close the database when it is no longer needed.
09-22 13:22:51.004  7172  7185 W System  : A resource failed to call SQLiteConnection.close. 
09-22 13:22:52.954  7172  7203 W Parcel  : Expecting binder but got null!
09-22 13:22:53.934  7172  7203 W Parcel  : Expecting binder but got null!
