# pushed 2026-09-23 11:27:37.978 (scheduled)
# app=2.2 (build 13) device=Newland NLS-MT93 display=MT93-GL_V2.10.010_113007 android=13 (sdk 33) server=http://164.52.223.163:4636 location=TITLI NEEMUCH
# bytes 152161..155723

2026-09-23 11:26:36.808  I  UhfSession: UHF reader powered down: no screen is using the reader
2026-09-23 11:27:07.965  I  Session: app=2.2 (build 13) device=Newland NLS-MT93 display=MT93-GL_V2.10.010_113007 android=13 (sdk 33) server=<not configured> location=TITLI NEEMUCH
2026-09-23 11:27:07.974  I  LogUploader: Automatic log push on: paras-44a55/Titli-upload@log every 30 min as NLS-MT93-f0fc075f
2026-09-23 11:27:07.987  I  Net: wifi connected
2026-09-23 11:27:07.991  I  Net: wifi has internet (rssi -36 dBm)
--------- beginning of main
09-23 11:27:08.133  6041  6041 W hionapplication: Accessing hidden method Landroid/view/ViewGroup;->makeOptionalFitsSystemWindows()V (unsupported, reflection, allowed)
09-23 11:27:08.192  6041  6041 E FBI     : Can't load library: dlopen failed: library "libmagtsync.so" not found
09-23 11:27:08.257  6041  6072 W Parcel  : Expecting binder but got null!
09-23 11:27:10.940  6041  6041 W libc    : Access denied finding property "vendor.scroll.fpsgo.release"
09-23 11:27:12.924  6041  6072 W Parcel  : Expecting binder but got null!
09-23 11:27:13.489  6041  6072 W Parcel  : Expecting binder but got null!
09-23 11:27:19.894  6041  6051 W hionapplication: Cleared Reference was only reachable from finalizer (only reported once)
09-23 11:27:19.908  6041  6053 W System  : A resource failed to call close. 
09-23 11:27:19.908  6041  6053 W System  : A resource failed to call SQLiteConnectionPool.close. 
09-23 11:27:19.909  6041  6053 W SQLiteConnectionPool: A SQLiteConnection object for database '/data/user/0/com.poxo.tittlifashionapplication/databases/titliFashion' was leaked!  Please fix your application to end transactions in progress properly and to close the database when it is no longer needed.
09-23 11:27:19.909  6041  6053 W System  : A resource failed to call SQLiteConnection.close. 
09-23 11:27:19.911  6041  6053 W System  : A resource failed to call close. 
09-23 11:27:19.911  6041  6053 W System  : A resource failed to call SQLiteConnectionPool.close. 
09-23 11:27:19.911  6041  6053 W SQLiteConnectionPool: A SQLiteConnection object for database '/data/user/0/com.poxo.tittlifashionapplication/databases/titliFashion' was leaked!  Please fix your application to end transactions in progress properly and to close the database when it is no longer needed.
09-23 11:27:19.911  6041  6053 W System  : A resource failed to call SQLiteConnection.close. 
09-23 11:27:19.911  6041  6053 W System  : A resource failed to call close. 
09-23 11:27:19.911  6041  6053 W System  : A resource failed to call SQLiteConnectionPool.close. 
09-23 11:27:19.911  6041  6053 W SQLiteConnectionPool: A SQLiteConnection object for database '/data/user/0/com.poxo.tittlifashionapplication/databases/titliFashion' was leaked!  Please fix your application to end transactions in progress properly and to close the database when it is no longer needed.
09-23 11:27:19.911  6041  6053 W System  : A resource failed to call SQLiteConnection.close. 
09-23 11:27:19.915  6041  6053 W System  : A resource failed to call close. 
09-23 11:27:19.915  6041  6053 W System  : A resource failed to call SQLiteConnectionPool.close. 
09-23 11:27:19.915  6041  6053 W SQLiteConnectionPool: A SQLiteConnection object for database '/data/user/0/com.poxo.tittlifashionapplication/databases/titliFashion' was leaked!  Please fix your application to end transactions in progress properly and to close the database when it is no longer needed.
09-23 11:27:19.915  6041  6053 W System  : A resource failed to call SQLiteConnection.close. 
