# pushed 2026-09-25 14:54:38.440 (scheduled)
# app=2.2 (build 13) device=Newland NLS-MT93 display=MT93-GL_V2.10.010_113007 android=13 (sdk 33) server=http://164.52.223.163:4636 location=TITLI NEEMUCH
# bytes 135804..137613

2026-09-25 14:22:34.478  I  UhfSession: UHF reader powered down: app moved to the background
09-25 14:22:38.455 14824 14838 W System  : A resource failed to call close. 
09-25 14:22:38.455 14824 14838 W System  : A resource failed to call SQLiteConnectionPool.close. 
09-25 14:22:38.456 14824 14838 W SQLiteConnectionPool: A SQLiteConnection object for database '/data/user/0/com.poxo.tittlifashionapplication/databases/titliFashion' was leaked!  Please fix your application to end transactions in progress properly and to close the database when it is no longer needed.
09-25 14:22:38.456 14824 14838 W System  : A resource failed to call SQLiteConnection.close. 
09-25 14:22:38.468 14824 14838 W System  : A resource failed to call close. 
09-25 14:22:38.468 14824 14838 W System  : A resource failed to call SQLiteConnectionPool.close. 
09-25 14:22:38.468 14824 14838 W SQLiteConnectionPool: A SQLiteConnection object for database '/data/user/0/com.poxo.tittlifashionapplication/databases/titliFashion' was leaked!  Please fix your application to end transactions in progress properly and to close the database when it is no longer needed.
09-25 14:22:38.468 14824 14838 W System  : A resource failed to call SQLiteConnection.close. 
09-25 14:22:38.470 14824 14838 W System  : A resource failed to call close. 
09-25 14:22:38.470 14824 14838 W System  : A resource failed to call SQLiteConnectionPool.close. 
09-25 14:22:38.470 14824 14838 W SQLiteConnectionPool: A SQLiteConnection object for database '/data/user/0/com.poxo.tittlifashionapplication/databases/titliFashion' was leaked!  Please fix your application to end transactions in progress properly and to close the database when it is no longer needed.
09-25 14:22:38.470 14824 14838 W System  : A resource failed to call SQLiteConnection.close. 
