# pushed 2026-09-01 04:06:41.769 (scheduled)
# app=1.6 (build 7) device=Newland NLS-MT93 display=MT93-GL_V2.10.006_113007 android=13 (sdk 33) server=http://164.52.223.163:4636 location=TITLI BHILWARA
# bytes 30827..32543

09-01 04:06:17.262  3267  3280 W System  : A resource failed to call close. 
09-01 04:06:17.263  3267  3280 W System  : A resource failed to call SQLiteConnectionPool.close. 
09-01 04:06:17.263  3267  3280 W SQLiteConnectionPool: A SQLiteConnection object for database '/data/user/0/com.poxo.tittlifashionapplication/databases/titliFashion' was leaked!  Please fix your application to end transactions in progress properly and to close the database when it is no longer needed.
09-01 04:06:17.263  3267  3280 W System  : A resource failed to call SQLiteConnection.close. 
09-01 04:06:17.264  3267  3280 W System  : A resource failed to call close. 
09-01 04:06:17.265  3267  3280 W System  : A resource failed to call SQLiteConnectionPool.close. 
09-01 04:06:17.265  3267  3280 W SQLiteConnectionPool: A SQLiteConnection object for database '/data/user/0/com.poxo.tittlifashionapplication/databases/titliFashion' was leaked!  Please fix your application to end transactions in progress properly and to close the database when it is no longer needed.
09-01 04:06:17.265  3267  3280 W System  : A resource failed to call SQLiteConnection.close. 
09-01 04:06:17.266  3267  3280 W System  : A resource failed to call close. 
09-01 04:06:17.266  3267  3280 W System  : A resource failed to call SQLiteConnectionPool.close. 
09-01 04:06:17.266  3267  3280 W SQLiteConnectionPool: A SQLiteConnection object for database '/data/user/0/com.poxo.tittlifashionapplication/databases/titliFashion' was leaked!  Please fix your application to end transactions in progress properly and to close the database when it is no longer needed.
09-01 04:06:17.267  3267  3280 W System  : A resource failed to call SQLiteConnection.close. 
